Keyword,Target Search Intent,Difficulty,Average Volume,Suggested Post Title,Target Stage
why is my wordpress site so slow,Informational,Medium,1200,Why is My WordPress Site So Slow? (And How to Fix It without More Plugins),Top of Funnel (Problem Aware)
how to fix largest contentful paint,Informational,High,1800,How to Fix Largest Contentful Paint: An Engineering Guide,Middle of Funnel (Solution Aware)
elementor vs custom html,Informational,Low,350,Elementor vs Custom HTML: Why Page Builders Are Costing You Customers,Middle of Funnel (Solution Aware)
divi performance problems,Informational,Low,250,Unmasking Divi: The Technical Reality of Visual Builder Performance,Top of Funnel (Problem Aware)
how much does a custom website cost,Informational,Medium,800,How Much Does a Custom Website Actually Cost? (Bespoke vs Templates),Middle of Funnel (Solution Aware)
web design conversion rates,Informational,Low,150,How Site Speed Directly Dictates Web Design Conversion Rates,Middle of Funnel (Solution Aware)
speed optimized woocommerce theme,Informational,Medium,450,Why a Speed Optimized WooCommerce Theme is an Oxymoron,Middle of Funnel (Solution Aware)
does page speed affect seo,Informational,Medium,950,Does Page Speed Affect SEO? The Cold Hard Truth from Google's Data,Top of Funnel (Problem Aware)
static site vs wordpress,Informational,Medium,800,Static Site vs WordPress: Why Modern Brands are Moving to Jamstack,Middle of Funnel (Solution Aware)
why is elementor bloated,Informational,Low,150,Why Elementor is Bloated: A Deep Dive into DOM Tree Pollution,Middle of Funnel (Solution Aware)
what is a good lcp score,Informational,Low,400,What is a Good LCP Score? (And How to Achieve Sub-100ms Responses),Top of Funnel (Problem Aware)
wordpress plugin security issues,Informational,Medium,600,The Hidden Cost of Security: How to Protect Your Site from Plugin Vulnerabilities,Top of Funnel (Problem Aware)
how to optimize web fonts,Informational,Medium,300,How to Optimize Web Fonts for Speed (Ditch Google Fonts CDN Hosting),Middle of Funnel (Solution Aware)
server response time ttfb,Informational,High,500,Understanding TTFB: The Developer Guide to Instant Server Responses,Middle of Funnel (Solution Aware)
custom site vs wix,Informational,Medium,750,Custom Site vs Wix: Why visual builders fail mid-market enterprises,Middle of Funnel (Solution Aware)
